season,adp_name,adp_team,adp_overall,ppr_points,ppr_ppg,adp_residual_ppr,workload_residual_ppr,touch_share_delta,target_share_delta,i20_share_delta,i10_share_delta,i5_share_delta,i20_rb_share_delta,i10_rb_share_delta,i5_rb_share_delta,teammate_i5_delta,head_coach_change,team_changed,two_year_available,role_change_category
2024,J.K. Dobbins,LAC,116.200000,190.800000,14.676923,73.764490,112.012829,-0.110856,-0.010878,-0.143324,-0.154338,-0.181115,-0.232281,-0.247492,-0.298851,0.495356,0,1,1,DECLINING
2023,Alvin Kamara,NO,69.200000,227.000000,17.461538,61.158744,62.542925,-0.011467,0.015388,-0.155806,-0.314286,-0.380952,-0.125000,-0.202797,-0.300000,0.119048,1,0,1,DECLINING
2025,Tyler Allgeier,ARI,154.500000,123.000000,7.235294,44.542157,52.543675,-0.065691,-0.022893,-0.156894,-0.022787,-0.178241,-0.229721,-0.107143,-0.303333,0.479167,1,1,1,DECLINING
2022,Cam Akers,LAR,33.100000,145.300000,9.686667,-63.905908,-43.655866,-0.174074,-0.019908,-0.298526,-0.323077,-0.236842,-0.351382,-0.381818,-0.310345,0.239938,0,0,1,DECLINING
2023,Jonathan Taylor,IND,25.900000,156.400000,15.640000,-58.453728,-68.334143,-0.193952,-0.030726,-0.395461,-0.335152,-0.333333,-0.382861,-0.291818,-0.324885,0.055556,0,0,1,DECLINING
2023,D'Andre Swift,PHI,75.900000,201.300000,12.581250,43.042661,43.555932,-0.085415,-0.012489,-0.107143,-0.191810,-0.312292,-0.109890,-0.226356,-0.339587,0.433555,0,1,1,DECLINING
2023,Damien Harris,BUF,110.600000,19.000000,3.166667,-99.979446,-83.736194,-0.101214,0.004137,-0.254969,-0.400735,-0.371429,-0.278736,-0.397959,-0.349206,0.385714,0,1,1,DECLINING
2023,David Montgomery,DET,76.800000,207.200000,14.800000,49.961396,103.470659,-0.028995,0.013602,-0.110534,-0.164502,-0.375000,-0.115873,-0.155844,-0.364286,0.250000,1,1,1,DECLINING
2022,J.K. Dobbins,BAL,38.800000,81.200000,10.150000,-122.051401,-98.147046,-0.191250,-0.063613,-0.287129,-0.254545,-0.370370,-0.414286,-0.358974,-0.416667,-0.370370,1,0,1,DECLINING
2024,Antonio Gibson,NE,158.600000,103.300000,6.076471,29.054179,34.280231,-0.075718,-0.010202,-0.170988,-0.336379,-0.366667,-0.206250,-0.420588,-0.428571,0.075000,0,1,1,DECLINING
